Category,Name,Author,KeyWords
Aesthetics,Subhashithaya,Alagiyewanna Mukewatiya,"['Kawya', 'Saralabasa', 'Upadeshathmaka', 'Sahithya', 'Parani']"
Aesthetics,Kavi Sangarawa,S.Godage Publications,"['Kawya', 'Gaburubasa', 'Parani', 'Bhashawa', 'Rasaswadaya']"
Aesthetics,Drohiyage kavipotha,Pathum Ranasinghe,"['Kawya', 'Saralabasa', 'Nuthana', 'Yatharthaya', 'Prabandha']"
Aesthetics,Palugama,Meemana Prematilake,"['Kawya', 'Sanskrutiya', 'Gama', 'Janaprawada', 'Gaburubasa']"
Aesthetics,Premaya nohoth Maranya,Sujeewa Niranjani Rathnayake,"['Kawya', 'Saralabasa', 'Nuthana', 'Nisadas', 'Premaya']"
Aesthetics,Handa bin Panguwa,Asanka Ruwan Sagara,"['Kawya', 'Nuthana', 'Saralabasa', 'Swabadhama', 'Parisaraya']"
Aesthetics,Pem Dhahana,Pransis Bulathsinhale,"['Kawya', 'Charitha', 'Kiwidhiya', 'Kanthawa', 'Wirahawa']"
Aesthetics,Kawya Sewanaya,Mahagamasekara,"['Kawya', 'Charitha', 'Parani', 'Saralabasa', 'Rasaswadaya']"
Aesthetics,Greeka natya Sampradhaya,Walter Marasinghe,"['Natya', 'Wideshiya', 'Greeka', 'Wedika', 'Purawurtha']"
Aesthetics,Asirimath rangana kalawa,Ben Rasanak,"['Natya', 'Charitha', 'Wedika', 'Hagim', 'Puhunuwa']"
Aesthetics,Shakespear ha Hamlet,P.S.B.Senanayake,"['Natya', 'Charitha', 'Shakespear', 'Wedika', 'Wideshiya']"
Aesthetics,Sudho Sudu,Parakrama Niriella,"['Natya', 'Kawya', 'Pitapath', 'Debas', 'Nawathaliwima']"
Aesthetics,Prasangika kala,Mangalika Jayathunga,"['Natya', 'Prasangika', 'Narthanaya', 'Sangeethaya', 'Samajaya']"
Aesthetics,Natyashastra(Dwitiya Bhagaya),Walter Marasinghe,"['Natya', 'Parani', 'Purawurtha', 'Wideshiya', 'Puhunuwa']"
Aesthetics,Chitrapata Siddanta ha wichara,Chandrasiri Palleguru,"['Natya', 'Sinama', 'Adyapanika', 'Prasangika', 'Sidhdhantha']"
Aesthetics,Rashomon,Prof.Ariya Rajakaruna,"['Natya', 'Saralabasa', 'Wideshiya', 'Pariwarthana', 'Pitapath']"
Aesthetics,Sinema Rupa Ridhmaya,Chandana Silva,"['Natya', 'Sinama', 'Adyapanika', 'Prasangika', 'Handunwadeem']"
Aesthetics,Doloswana Rathriya,Pushparani Wickramarathne,"['Natya', 'Shakespear', 'Parani', 'Wedika', 'Wideshiya']"
Aesthetics,Sangitha Adyapanaye Gamanmaga,Iranga Samindhani Weerakkodi,"['Sangeetha', 'Peradiga', 'Saralabasa', 'Handunwadeem', 'Wideshiya']"
Aesthetics,Geethasikshaka,M.G.Perera,"['Sangeetha', 'Parani', 'Gaburubasa', 'Upadeshanathmaka', 'Adyapanika']"
Aesthetics,Sindu Wimasuma,Manori Manamperi,"['Sangeetha', 'Peradiga', 'Geethaya', 'Saralabasa', 'Nuthana']"
Aesthetics,Siddantha Sambhawya sangeethaya,Shanthi Geethadeva,"['Sangeetha', 'Sambawya', 'Siddantha', 'Adyapanika', 'Rasawadaya']"
Aesthetics,Gee Sara Muwaradha(Dr.Pandit.Amaradeva),NJCT Publication,"['Sangeetha', 'Charitha', 'Amaradewa', 'Peradiga', '']"
Aesthetics,Gammane upan Geethaya,Rohana Baddaghe,"['Sangeetha', 'Charitha', 'Baddage', 'Deshiya', 'Gama']"
Aesthetics,Lankawe Sangeetha Sambhawaya,C da S .Kulathilake,"['Sangeetha', 'Sambawya', 'Rasaswadaya', 'Adyapanika', 'Parikalpana']"
Aesthetics,Wadayakayaku Bihiwima,Amaranath Ranathunga,"['Sangeetha', 'Wadanaya', 'Adyapanika', 'Upaseshathmaka', 'Adunika']"
Aesthetics,Udarata Sangeethaya,Pranith Abhayasundara,"['Sangeetha', 'Deshiya', 'Peradiga.Pariwarthana', 'Ithihasaya', 'Purawurtha']"
